job_position,company_name,job_country,job_posting_date,Employment_type,Seniority_level,job_description
Research Scientist,Raspberry Pi Foundation,United Kingdom,2023-06-23,Contract,Mid-Senior level,"Location: Cambridge, UK or remote (in the UK) with regular travel to CambridgeSalary: £39,500 - £45,000 p.a. full-time equivalent (FTE) which would be pro-rata’d dependent on the number of hours contracted for. Salary is dependent on experienceBasis: Permanent, part-time at .6 FTE or flexible at .6 FTEEligibility: You must be eligible to work in the UKThe roleResearch in computing and digital making education is a key part of the work of the Raspberry Pi Foundation. Through our work, we strive to deepen our understanding of how young people learn about computing and digital making, and use that knowledge to increase the impact of our own work and to advance the field of computing education. Together with the University of Cambridge, we have launched the Raspberry Pi Computing Education Research Centre.This role is employed by the Raspberry Pi Foundation and will be given visitor status at the University of Cambridge.We are now looking for a research scientist to join our team. The post will be ideal for a candidate with experience and qualifications in computing education research, preferably with young people. The post will involve developing, conducting, and managing individual and collaborative research projects. The role holder will be expected to plan and manage their own research and administration, with guidance if required. They must be able to communicate material of a technical nature and be able to build internal and external contacts.Candidates should be highly motivated individuals with excellent communication skills and the ability to work independently and as part of a team. They should also be able to demonstrate considerable knowledge of either computing or education research.We strive to make the Foundation a place where talented people who care about our mission can do the best work of their careers. We have a flexible and collaborative approach to all aspects of our work. If you’re the right person for the job, we’ll make it work for you, and you can be confident that you’ll be working with an exceptional team.ResponsibilitiesConduct individual and collaborative research projects, taking a lead in the implementation and execution of some of these projects Write up the results of research and contribute to the publication of results in high-quality, peer-reviewed academic literature Plan project milestones, implement project plans, and produce reports on progress toward outcomesSupport other team members on projectsMentoring and training colleagues on research themesWork with stakeholders and partners from other organisations to collaboratively deliver research projectsLiaise with partners to enhance the impact of research Disseminate results of projects as appropriate to the discipline e.g. by presentations at conferencesParticipate regularly in group meetings, and prepare and deliver presentations to the project team, internal and external stakeholders, or fundersIdentify sources of funding and provide assistance with preparing bids for fundingDevelop research objectives and proposals for own or joint researchContribute to the development of the academic disciplineKeep abreast of developments within the discipline and profession, and seek continuous improvement of professional practice to inform research activityExperience And Personal AttributesWe recognise that everyone has the potential for growth, and we welcome applications from candidates who can demonstrate that they have some, but not all, of the experience and personal attributes listed here.A Ph.D. degree or equivalent in a subject area of direct relevance for the post, or be working towards a Ph.D.Depth and breadth of specialist knowledge in an area of computing, education, social sciences, or psychologyDemonstrated awareness of the latest developments in the field of education, computing education, and computing education research both nationally and internationallyDemonstrated potential to publish in high-quality, peer-reviewed journalsThe ability to conduct individual research work and to disseminate resultsExperience of either qualitative or quantitative data analysis, preferably bothThe ability to organise and prioritise your own workloadThe ability to write research reports and to effectively disseminate outcomes Well-developed project management skillsThe ability to mentor and support other team members on projectsExcellent interpersonal and communication skills, both written and verbal The ability to think strategically and conceptuallyWillingness to travel, potentially outside the UKAbout UsThe Raspberry Pi Foundation is a UK-based educational charity with the mission to enable young people to realise their full potential through the power of computing and digital technologies.Established in 2008 and first known for our product — the wildly successful Raspberry Pi computer — the Foundation has developed education programmes, learning experiences, and products that are helping millions of young people learn vital new knowledge and skillsThrough Code Club and CoderDojo, we support the world’s largest network of free informal computing clubs for young people. Tens of thousands of educators have taken our online courses, and millions of people use our free online learning resources. To deepen our understanding of how young people learn about computing and how to create with digital technologies, we conduct academic research, and we use that knowledge to increase the impact of our work and advance the field of computing education.Across all of our work, we work hard to engage young people who come from backgrounds that are traditionally underrepresented in the field of computing or who experience educational disadvantage. We work all over the world, with teams based in the UK, Ireland, North America, and India, and partnerships with mission-aligned organisations in over 40 countries.We are at the forefront of the global movement to help young people learn about computing and digital making. You can read more about our mission, values, and goals in our Annual Review 2021 and our Strategy 2022–2025.BenefitsIn addition to competitive salaries, we offer a range of benefits for all of our colleagues, including:25 days’ annual leaveGenerous company pension scheme with 8% employer and 4% employee contributionsPrivate healthcareLife assurance and long-term illness insurance policyInvestment in professional development and learningFlexible work hours as needed, to fit around childcare or other commitmentsGenerous family leave policyCycle-to-work scheme and season ticket loanTimetable for applicationsClosing date: Monday 17 July 2022, 9.00 am GMTPhone screen: By Friday 21 July 2023, 17.00 pm GMTFirst-round interview: Week commencing 24 July 2023Second-round interview: Week commencing 31 July 2023We are committed to safeguarding and promoting the welfare of children and young people, and we expect all staff and volunteers to share this commitment. If successful in the selection process, you will be required to undergo a background check to confirm that you are a suitable person to work with children. Further background checks will be made at regular intervals thereafter."
Data Scientist,Altasu Recruitment Group,United Kingdom,2023-06-18,Full-time,Mid-Senior level,"Role: Data ScientistSalary: £50,000 - £65,000 DOE + 15% Annual BonusLocation: Fully Remote (occasional meetups in London)Full Time, PermWe have partnered with a UK-based company that is redefining the renewable energy sector with their AI technology. Operating on a global scale, and after remarkable growth over the past 3 years, they’re looking to further expand their Data Analytics Team by recruiting a Data Scientist. The candidate will be responsible for using AI and cutting-edge technology to collect and analyse huge amounts of data to analyse behaviour, identify irregularities and make recommendations on improving efficiency all in the name of data science.ResponsibilitiesImplement analytics for automatically extracting insight from data feedsDevelop data visualisations and analyticsImplementing a process to build-measure-learn rapidly on customer UXExperiment with statistical/ML approachesRequirementsStrong Python experienceStrong SQL experience A strong working knowledge of data science techniques and toolsExperience working with time series data 2+ years of experience in a data science or data analytics positionStrong academic background in maths, statistics, physic, computer science or similar subjects (2:1 or above)Right to work in UKThe salary for this role is up to £60,000 along with a 15% bonus. The whole company work fully remote with occasional meetups throughout the year (usually in London, but could be anywhere in the UK).If you’re interested, apply today!!"
Data Scientist : Machine Learning,TipTopJob,United Kingdom,2023-06-09,Full-time,Entry level,"Data Scientist An exciting FinTech start:up are seeking a Data Scientist to join their team in London Their platform allows clients to trade derivates on a range of financial markets, such as equities, forex , indices and commodities. Data Scientist Requirements:: Strong Python proficiency: SQL exposure: Leadership experience: Interest in Machine Learning Data Scientist Benefits:: Competitive salary: Hybrid working: Amazing career opportunities If youre a Data Scientist and this sounds like a match, please do not hesistate"
Data Scientist,DataBuzz,United Kingdom,2023-06-22,Full-time,Entry level,"Data Scientist/Permanent/London/Fully Remote /Up To £70,000 per annum DataBuzz are recruiting a Data Scientist to join prestigious organisation. You will be a Data Scientist having experience in advanced analytics and modelling techniques and as a problem solver, to help solve challenges, and communicator, preferably with a degree in a quantitative field. You'll need below Experiences/Skills.-Data MiningStatistical AnalysisMachine LearningData VisualizationDatabase QueryingProgrammingData EngineeringBusiness AnalysisCommunication If this sounds like an opportunity that would be of interest, please apply ASAP"
Scientist,Corriculo Recruitment,United Kingdom,2023-06-27,Full-time,Associate,"ScientistMy client a pioneering Oxford University spin-out company, are in urgent need of a Scientist, with knowledge of inertial fusion and/or shock physics, to join the team at an exciting time of change and innovation.The RoleThe successful Scientist, will work alongside an exceptionally talented team, working on pioneering inertial fusion projects. Generating new ideas and concepts, the Senior Scientist will work at the bleeding edge of technology!The CompanyThe Scientist will join an innovative Oxfordshire University spin-out, making waves within the energy industry. The Scientist will contribute to a supportive team environment, which rewards hard work and innovative thinking.Benefits25 days holidayShare optionsOnsite parkingWhat’s required of the Scientist?• Hold a Masters or PhD in a relevant subject, such as science, technology, engineering and mathematics (STEM)• Knowledge of inertial fusion physics and/ shock physics• Any experience with development languages such as Python or C++, would really set your application apart. If this has been couple with Machine Learning experience, then even better!What Next?If you're a Scientist, looking for an exciting new project within a pioneering organisation; apply now for immediate consideration!"
Data Scientist : Fintech,TipTopJob,United Kingdom,2023-06-09,Full-time,Entry level,"Data Scientist London Hybrid:Remote A data scientist is needed to join a Fintech trading platform that have developed a highly advanced platform that gives their clients the ability to trade derivatives on a range of financial markets including equities, indices, FX and commodities. Currently, they have customers from all over the world using their trading platform and services: they are seeing over 500,000 trades happen every week, all stored in their internal database. After spending a few years building the foundations of the company they are now investing heavily in tech and have transitioned into a fintech business model, building everything in:house. As a data scientist, you will be working directly alongside the COO of the company where you will lead multiple functions whilst working in a mostly hands:on role across all areas of data with the opportunity for exposure to Machine Learning. You will be given free reign to shape the role and bring on new ideas with the opportunity to build and scale a team in the future. Requirements:: 2+ years of commercial experience working as a data scientist.: Proficiency in Python.: Proficiency in SQL.: Exposure to Machine Learning (beneficial). Benefits:: Private health and dental cover.: Annual training budget.: Part of a social friendly team: regular meals, outings and parties.Sounds like a place you could see yourself at? Get in touch and Apply today by sending a copy of your CV by clicking on the 'Easy Apply' button Here at oho, we are a progressive recruitment firm partnering with the worlds biggest innovators To discuss open opportunities or career options, our websiteohoand follow the oho LinkedIn page for the latest jobs and news Data Scientist London Hybrid:Remote"
Data Scientist,ecocareers,United Kingdom,2023-07-01,Full-time,Entry level,"LondonUp to £72k plus a 15% bonus and 10% pension plus lots more ?? Harvey Nash are proud to partner exclusively with one of the leading renewable energy providers. They are a global business who are leading the way in the push for renewable energy sources, taking on an ambitious mission to enable a zero carbon, low cost energy future ?? Their Data Science team is responsible for furthering their knowledge base with exploratory data science projects. These projects include;Hydropower usageCarbon capture and Biomass production methodsHow to improve employees journey through the business You will engage with stakeholders to understand their needs whilst developing a clear understanding of the bigger picture. You will then develop, implement and document innovative data science models to contribute towards these goals.SQL/TSQL R and/or Python (pandas, NumPy, SciPy, Matplotlib, TensorFlow, SciKit-Learn, PyTorch)Machine Learning and Artificial IntelligenceAzure/AWSData Quality, Validation, Security and Privacy They have a close knit, diverse team, and offer a very collaborative environment where they support each other, but at the same time are also open for people to challenge the status quo and bring their own ideas to the table. This will be a hybrid role based in London with expectation to be onsite once a week. Looking for a mid - level Data Scientist, salary dependent on experience - please reach out to discuss in more detail. Up to £72k15% bonus25 days holidayBH up to 10% PensionPrivate Healthcare and much more If you are interested, please get in touch below; ??"
Data Scientist,ADLIB Recruitment | B Corp™,United Kingdom,2023-05-27,Full-time,Entry level,"Fantastic opportunity to join a leading facilities management companyWork on AI solutions across a range of interesting areasHybrid working and strong benefits packageI’m seeking a highly skilled Data Scientist to join an innovative organization dedicated to pushing the boundaries of technology in the facilities management industry.What You'll Be DoingThe role would see you joining and starting a new data science function within a FTSE 250 market leading business. Working closely with the company’s Lead Data Scientist you’ll play a key role in building out the company’s machine learning capabilities.You will have a hands-on role working on the development of proof of concepts, MVPs, and prototypes across areas such as deep learning, natural language processing, text analytics, speech recognition, and image/video analysis.What You'll Need To ApplyA MSc or PhD in a STEM subject, Computer Science or EngineeringA minimum of 3 year’s commercial Data Science experience.Highly capability in SQLStrong programming skills in Python and Deep Learning frameworks such as PyTorch or TensorFlowStrong understanding in machine learning algorithms, model development, common frameworks, workflow tools, and/ or applied AI.Knowledge across at least two of the following areas: Deep learning platforms, Natural language processing and Text analytics, Speech recognition, Image/ Video analysis etcStrong hands-on experience in Cloud platform technologies, mainly Microsoft AzureExperience working on commercial IoT projects as an advantage.Experience collaborating with front-end development teams as advantageExperience with IBM Watson, and MS Luis is desirableWhat You'll Get For Your ExperienceA base salary of up to £60,000 plus a strong benefits package.The role can be worked any of the company’s offices, based either in Bristol, Birmingham, Manchester, or London. The company has a hybrid working policy.This role requires you are SC Cleared or eligible for SC Clearance (lived in the UK for over 5 years). The company is unable to offer sponsorship for the role.What's next?Please apply with an up-to-date CV today, don't hesitate to call/email to discuss the finer details."
"Senior Data Scientist- Python, SQL, ML & GCP - Fully Remote",Sanderson Recruitment,United Kingdom,2023-06-25,Full-time,Mid-Senior level,"Daily rate £700-£800 via UmbrellaGlobal Ecommerce business is looking to recruit a Senior Data Scientist to be responsible for establishing best practices and developing/deploying core ML/AI algorithms required to tackle data science challenges.Experience/ SkillsSignificant experience working as a Senior Data ScientistSolid knowledge of SQL and Python's ecosystem for data analysis (Jupyter, Pandas, Scikit Learn, Matplotlib).Proven GCP experience (developing GCP machine learning services)Solid understanding of computer science fundamentals, including data structures, algorithms, data modelling and software architectureStrong knowledge of Machine Learning algorithms (e.g. Logistic Regression, Random Forest, XGBoost, etc.) as well as state-of-the-art research area (e.g. NLP, Transfer Learning etc.) and modern Deep Learning algorithms (e.g. BERT, LSTM, etc.)Data Scientist/ ML/ AI/ Python/ SQL/ Algorithms/ GCPPlease get in touch for more details- sian.dean@sandersonplc.comReport job"
Data Scientist,Talvana,United Kingdom,2023-06-12,Full-time,Entry level,"Your roleAre you passionate about directly impacting the business by utilizing analytical and machine learning skills?Do you want to play a key role in mining large datasets to generate meaningful and actionable insights, improve decision making, and optimize the process?Are you an excellent problem solver who is passionate about technology and innovation?We are looking for a Data Scientist to: Work with stakeholders to identify opportunities for leveraging data to drive business results Mine and analyze data from various data sets to provide actionable insights Employ machine learning and statistical methods to automate and transform the UBS Group Functions, including IT, Finance, Real Estate, and other delivery functions Develop processes and tools to monitor and analyze model performance and data accuracy Work with development team by providing end-to-end analytics and machine learning solutionsYour teamYou will be part of the Integrated Data Strategy and Platform team within Finance, Risk and the Data IT organization.Our Data strategy and platform are at the heart of UBS's Group Functions to digitize and support the business processes in these functions. The team is globally based in Switzerland, the UK, EMEA, APAC and the US.You experience and skills: BS or MS or PhD in Data Science, Machine Learning, Statistics, or related STEM fields 3+ years of relevant or equivalent experience, experience in finance industry is a plus Knowledge of a variety of machine learning techniques such as natural language processing, classification, clustering, optimization, deep neural network, good understanding of mathematical underpinning and their real-world advantages/drawbacks Hands on experience of using programming languages (Python, SQL, etc.) to manipulate data, develop models and derive insights. Hands on experience of database and analytical technologies in the industry Excellent oral and written communication skills Ability to collaborate in a fast-paced team environmentDiversity helps us grow, together. That's why we are committed to fostering and advancing diversity, equity, and inclusion. It strengthens our business and brings value to our clients.Your expertiseWe recruit T-shaped & well-rounded professionals who are deep experts in their core technologies, and are open to learning new technologies.Core skills include: Hands on experience with Spark, Databricks, and relevant Azure components Hands-on experience deploying analytical models to solve business problems Ability to develop experimental and analytical plans for data modeling processes Experience with data visualization tools"
AI Research Scientist,Elekta,United Kingdom,2023-06-15,Full-time,Mid-Senior level,"About the job- AI Research Scientist: – Preferred: - Stockholm / Crawley, Others: -EU- all locations (Home / Office based)We don’t just build technology. We build hope.At Elekta we believe patients should have access to – and benefit from – precise, personalised radiation therapy. Elekta’s Precision Radiation Medicine is revolutionizing cancer care. Bringing together science, technology, and clinical intelligence, we’re working towards a future where everyone who needs it can benefit from precise and individually tailored radiotherapy treatments. We’re giving millions of patients the chance to live more moments that matter.What You’ll Do At ElektaAs an AI Research Scientist, you will be responsible for developing, integrating, and validating AI solutions – but not limited to AI - to solve complex problems encountered in oncology and assisting in the front-end innovation of these solutions. These problems may include, but are not limited to, CT/CBCT image processing, reconstruction, de-noising, rigid/deformable image registration, automatic or assisted segmentation of 2D, 3D and 4D images using DL/ML techniques, inference across data domains, descriptive informatics, treatment plan optimization, radiation dose calculation, and motion management.The right stuff Develop high quality AI and non-AI models and approaches for online adaptive radiotherapy based on medical images (CT, CBCT, MR, PET, ultrasound and other) and RT dose prescriptions and plans.Develop AI and non-AI based image and data processing algorithms (for example, segmentation, registration, treatment plan optimization, radiation dose calculation), probabilistic reasoning and machine learning algorithms in online and real time adaptive radiation therapy.Propose practical models to assess the relevancy, complexity, and technological feasibility of the approaches.Review literature and patents and write reports on existing mathematical models.Collaborate extensively across teams.Steer and participate in academic collaborations and research partnerships.Integrate internal and external innovations into end-to-end workflow testbenches.Engage in the development of AI software prototypes, b) conduct independent, applied research aimed at solving oncology specific imaging problems, c) support collaborations relationships by working with external partners, d) analyze new technologies as required, and e) collaborate with other Research Scientists and Development Engineers to lend expertise as needed.Help define CT/CBCT-based adaptive radiotherapy workflows.Collaborate with Imaging specialists to investigate, among other things, improvements in image quality and reconstruction speed.Validate algorithms on clinical datasets.Collaborate directly with external research partners to evaluate models, receive design inputs, as part of a co-development effort or to guide external research.Drive and support scientific publications including drafting of manuscripts and conference abstracts.What We Believe You HavePh.D. in a relevant Medical Physics, Biomedical Engineering or similar academic field with strong preference given to expertise and knowledge in Radiation Therapy and AI.Masters in these academic fields with strong AI research components will also be considered.Hands-on expertise at the forefront of AI and Medical Imaging/Treatment planning.Minimum 2 years of software development/research experience in medical imaging/radiotherapy treatment planning after PhD graduation (or 7 years’ experience if MS degree)Strong publication record in the top AI conferences and journals, including but not limited to NeurIPS, CVPR, ICML, ICCV, ICLR, ECCV, PAMI, Media, and others.Programming in TensorFlow, PyTorch, Python necessary assets. C++ a strong plus.Experience with computer vision and machine learning libraries, including ITK, VTK, and Scikit-Learn.Experience with MS Azure software stack an asset.Excellent problem-solving skills and attention to detail.Proficient skills in mathematics.Excellent verbal and written communication skills.Skills in team participation.What You’ll GetIn this role, you will work for a higher purpose; hope for everyone dealing with cancer, and for everyone regardless of where in the world, to have access to the best cancer care. In addition to this, Elekta offers a range of benefits. Please note that depending on the location the benefits might vary.Group Income ProtectionPrivate Medical InsurancePensionDependants’ PensionRetirement PolicyLife AssuranceHoliday PurchaseCycle-to-work schemeFlexible working hoursHybrid work environmentLong Service AwardsHiring ProcessWe are looking forward to hearing from you!Apply by submitting your application and résumé in English, via the “Apply” button. Please note that we do not accept applications by e-mail. The last day for applying is 30th June 2023.Your Elekta contactFor questions, please contact the responsible Global TA Partner Nidhi Sarkar, at nidhi.sarkar@elekta.com.We are an equal opportunity employer.We are an equal-opportunity employer. We evaluate qualified applicants without regard to race, colour, religion, sex, sexual orientation, gender identity, genetic information, national origin, disability, veteran status, or any other protected characteristic.About ElektaAs a leader in precision radiation therapy, Elekta is committed to ensuring every patient has access to the best cancer care possible. Elekta is a proud innovator and supplier of equipment and software used to improve, prolong, and save the lives of people with cancer and brain disorders.More than 6,000 hospitals worldwide rely on Elekta technology. We openly collaborate with customers to advance sustainable, outcome-driven, and cost-efficient solutions to meet evolving patient needs, improve lives and bring hope to everyone dealing with cancer. To us, it's personal, and our global team of 4,700 employees combines passion, science, and imagination to profoundly change cancer care. We don’t just build technology, we build hope.Elekta is headquartered in Stockholm, Sweden, with a presence in more than 120 countries, and is listed on Nasdaq Stockholm. For more information, visit elekta.com or follow @Elekta on Twitter and on LinkedIn."
Data Scientist,Metrica Recruitment,United Kingdom,2023-05-14,Full-time,Entry level,"The CompanyThe data and technology division of a global marketing agency, this is a really fast moving and innovative place to work, with the overall purpose to help clients build new capabilities to meet the challenges faced across the marketing landscape. They do this via an extremely customer-centric and data-driven approach.Operating at the intersection of marketing technology, data and user experience, they have around 300 staff globally consisting of consultants, technologists, data scientists and customer success practitioners.The RoleIn this role, you can expect apply your advanced analytical and programming skills across a variety of cutting-edge data science projects including recommender systems, NLP, machine learning, whilst working closely with the head of data science and data science directors to develop the team’s commercial offering.The team are looking for a data scientist who is able to add commercial value through cutting edge techniques and methodologies. They deploy everything they create and therefore want practitioners who how to put data science projects into production.Working with the team leads, you’ll contribute to pitches and present simple and compelling solutions to complex client problems.Tools used will include Python, Spark, AWS (Glue, Sagemaker).The IndividualProven commercial data science experience and has taken models into productionMust have cloud experience, preferably AWSMarketing domain experience preferable, but not essentialJob Owner: d.prosserTagged as: AWS, Python, Spark, SQL"
Senior Data Scientist,hackajob,United Kingdom,2023-06-21,Full-time,Mid-Senior level,"hackajob is partnering up with Auto Trader UK who is looking for a Senior Data Scientist📍ManchesterAt Auto Trader, our Data Scientists have the unique opportunity to impact various areas of our organisation. Current projects include personalizing recommendations to boost buyer engagement, enhancing our search algorithm to improve the buyer experience and create equal opportunities for sellers, analysing how competition affects sellers on our marketplace, and leveraging our in-house customer data platform for marketing purposes. As part of our broader analytical community, Data Scientists collaborate closely with Data Analysts and Digital Analysts. Together, we foster a culture of shared insights, continuous learning, and mutual support through regular showcases, feedback sessions, and mentorship programs.Joining us means working with a wide range of cutting-edge technologies on our data platform, including Python for data science, Databricks and GCP for big data analytics, dbt, airflow, and BigQuery for data modeling and warehousing. You will also have the opportunity to leverage Looker for data exploration and business intelligence.What we're looking for 💻Track record of delivering data science solutions in a commercial businessExperience productionising machine learning workflows. Knowledgeable in deployment and monitoring strategies.Deep understanding of ML frameworks, algorithms and statistical methodsExpertise with Python and SQLExperience orchestrating data science projects in cross-functional teams and comfortable leading other data scientistsEnthusiasm for engaging with stakeholders both technical and non-technical to identify opportunities for Data Science and the ability to influence roadmapsPassion for coaching Data Analysts and Data ScientistsBenefits and moreWe're offering a salary between £50,000 and £70,000 dependent on experience, and a flexible benefits package to support your health and well-being. You'll have 28 days holiday per year, and that's in addition to bank holidays and half-day closures on Christmas and New Year's Eve. Our Aviva pension scheme offers between 5% to 7% employer contributions depending on the percentage you choose to contribute, and we provide Bupa healthcare cover for all of our employees.If you're interested, please apply and we will give you a call to discuss more.**This role requires you to be based and eligible to work in the UK without sponsorship.**"
Lead Data Scientist,Peaple Talent,United Kingdom,2023-06-27,Full-time,Mid-Senior level,"Lead Data Scientist | Cardiff | £60,000 - £80,000Peaple Talent are very excited to have partnered with a global leader in the development of advanced maritime surveillance and navigation safety products and systems.We are now looking for an experienced lead data scientist to join our team in the maritime domain. As the lead data scientist, you will be responsible for developing and implementing data science solutions to improve maritime products and services.The Role:Develop and implement data science modelsCollaborate with product managers, engineers, and other stakeholders to identify and solve business problemsLead and mentor a team of data scientistsWe are looking for experience in the following areas:Strong knowledge of programming languages including SQL, Python or R4+ years’ experience of working in a Data Science / Analytics role or relatedExperience of applying statistical and machine learning techniques to large, complex datasets to solve business challenges.Familiarity of Geo Spatial Data tools such as GIS, GeoPandas, PostGIS"
Data Scientist,Agile Recruit,United Kingdom,2023-06-27,Full-time,Entry level,"Data Scientist - Remote - £80k-£100k DoE About We are looking for a Data Scientist to join our team and help us develop and deploy artificial intelligence (AI) and machine learning (ML) solutions to improve IoT operations. The ideal candidate will have experience with Python, R, Spark, and IoT devices. They will also have experience with Azure Databricks and Azure Synapse. They will be responsible for collecting, cleaning, and analysing data from smart meters. They will also be responsible for developing and deploying AI and ML models to improve our ability to predict consumption models, identify anomalies, and optimise our operations. Responsibilities Collect, clean, and analyse data from IoT devices at enterprise scaleDevelop and deploy AI and ML models to improve consumption prediction, anomaly detection, and operations optimisationWork with other data scientists, engineers, and business users to understand and solve data-related problemsStay up-to-date on the latest AI and ML trends and technologiesUse Azure Databricks and Synapse to build and manage data pipelines and analytical workloadsQualifications Master's degree in Data Science, Computer Science, or a related field3+ years of experience with Python, R, Spark, and IoT devicesExperience with AI and ML algorithms and techniquesStrong problem-solving and analytical skillsExcellent communication and presentation skillsExperience with Azure Databricks or/and SynapseBenefits Competitive salary and benefits packageOpportunity to work on cutting-edge AI and ML projectsCollaborative and supportive work environmentChance to make a real impact on the business This is an urgent requirement and if you would like to know more around this opportunity please apply directly or contact me at (url removed)"
Data Scientist,VIQU IT Recruitment,United Kingdom,2023-06-30,Full-time,Entry level,"Data Scientist | £50,000 + benefits | Hybrid 3 days in office and 2 days WFHWe are looking to connect highly analytic, numerate, motivated, curious, problem-solving individuals to this small but growing business.You will be confident in extracting, transforming and visualising data from a variety of data sources, using a range of business intelligence tools to create reports and dashboards. You will work collaboratively with other analysts in the team and maintain good working relationships with key external contacts, partners and suppliers.You will play a leading technical role for the team and will possess the understanding, experience, and skills to secure, strengthen and accelerate the development and scale of our analytical offering.About The BusinessWe are supporting a growing business in Hampshire that is renowned for their development approach to leadership and have developed a successful structured approach that harnesses client’s data to make smarter and wiser leadership decisions. Their holistic approach to development and wellbeing in the workplace has helped influential businesses and leaders across the UK reduce work related stress and team fatigue, decrease work pressures and subsequently improve overall work satisfaction/ outputs.Key AccountabilitiesWork across large datasets from multiple sources, identifying, analysing, and summarising findings for our clients.Responsible for running assessment analysis from end-to-end, obtaining outputs and building visualisations.Responsible for the continuous development of data analysis and visualizations to enable cutting edge delivery of our assessments.Collaborate with external partners on product development.Manage research projects using the data lake and large data sets to provide insight and understanding.Manage data lake queries.Work with partners to build, integrate and maintain the App Data PortalManage beta testing projects within the Analytics team.Work closely with clients, third parties, and partners to efficiently deliver assessments, develop products and accelerate growth.Guide the analytics team in their understanding of data analysis and production of assessment reports.Skills And Experience Required+3 years’ experience in Data Science or Analytical role with skills ranging from data extraction and manipulation to executive level product presentationDegree in statistics/mathematics/computer sciences/engineering or a related fieldThis is a Senior Appointment in a small growing company, you will not manage a massive team but will be required to lead from the front and demonstrate managerial and mentorship skills.Significant experience with statistical and advanced analytics techniques and able to translate complex data and analysis into simple, actionable outputs and visualisations.Significant experience, knowledge and fluency in programming languages R, Python, SQL, and Java ScriptStrong analysis skills: can work with multiple and complex data sources, prioritise key areas of investigation, and apply a sound interpretation to findings.DesirablesExperience of mobile app, web, and software developmentTableau CertificationCommercial awarenessExperience and understanding of psychometricsAuthorisation to work in UK - Sponosrship will not be an option unfortunatelyBenefitsBonus schemeCompany eventsFree parkingSick payWork from home"
Data Scientist,Metrica Recruitment,United Kingdom,2023-05-14,Full-time,Entry level,"The CompanyAn exciting fin-tech company in central London. They help young people learn how to manage money responsibly under the guidance of their parents. This is achieved through combining web and mobile apps, with a pre-paid debit card with parental controls.They have offices in London, America, Canada and are looking to grow their European presence in the next few years.The RoleSat within the the finance team you will be critical in delivering, enhancing and maintaining their rolling forecast financial model together with the CFO, Head of FPandA and data analytics team.You will be a key technical lead in the evolution and extension of the model, currently based on python code that includes a cohort-based attrition model, a channel-based customer acquisition model in addition toa more traditional forecasting model.This role is central to the business and will enable you to acquire an in-depth understanding of the business and its key drivers with the view of creating their next generation of financial tools.The CandidateStrong academic profile including with subject areas of mathematics, physics or computer science requiredProven experience in building and maintaining rolling forecast models ideally in fin-tech and or a consumer B-C businessStrong skills in Python with advanced knowledge of statistical and mathematical functionsAdvanced level of expertise in SQLStrong data analysis skills with ability to drill down into complex datasetExcellent problem-solving ability and capable of clearly articulating specific technical problemsJob Owner: d.prosserTagged as: Python, SQL"
Research Data Scientist,Metrica Recruitment,United Kingdom,2023-05-14,Full-time,Entry level,"The CompanyRecently named one of Britain’s fastest growing tech firms, this company is at the forefront of data and technology in the fashion retail space.Using fashion-specific AI, expert knowledge and proprietary data, they are looking to deliver a prediction platform that can offer clients the ability to predict customer behaviours and fashion trends to optimise and personalise shopping journeys.The RoleWith data science being at the core of the company’s offering, this role would be responsible for designing and improving the company’s recommendation algorithms and models. Your work will directly impact the end consumer in personalising the shoppers experience both in-store and online.You will be involved in the data-mining, machine learning and graph analysis techniques for a variety of modelling problems involving customers, their relationships and their fashion preferences, as well as building scalable statistical models that learn from large volumes of data and produce real-world value.An important aspect is designing new algorithms that can be rolled out in their offering. They don’t just apply existing algorithms; you are heavily involved in creating new ones.Essential SkillsMasters or PhD in relevant studies e.g. maths, statistics, computer science, machine learning, etc.At least one years’ experience in developing machine learning or statistical modelsStrong SQL skills and at least one of Python, R, Java, C, RubyJob Owner: d.prosserTagged as: AWS, Python, R, SQL"
Data Scientist,Metrica Recruitment,United Kingdom,2023-05-14,Full-time,Entry level,"This innovative financial services firm, a house-hold name to many, offers a range of financial services such as loans and credit cards to provide financial solutions for their customers across the Uk.This position will see you joining a innovative data science unit at a pivotal time in this financial service’s giants data journey.With a fantastic opportunity to stamp your own mark on this particular position, you will be tasked with developing innovative segmentation models to determine and improve commercial performance across the organisations credit portfolio.With a high-calibre Head of Data Science to learn from, and a huge variety of Greenfield projects available, there is significant opportunity to sell the value of data science across the business and further develop your own portfolio. It is expected that wit continued growth in this team line management would be an opportunity within the next 18-24 months. this is one not to miss.Strong experience working with Credit Bureau DataStrong proficiency with PythonA strong understanding of statisticsExperience productionising ML models.Job Owner: guy.williamsTagged as: AWS, GCP, Python, R, Spark"
